자치구,시설,서비스명,접수,이용기간,URL
강남구,동부도로사업소 테니스장,동부 도로사업소 테니스장 A코트 평일야간 9월1일~15일,접수중,2026-09-01 ~ 2026-09-15,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260824100654471156
강남구,동부도로사업소 테니스장,동부 도로사업소 테니스장 A코트 평일주간 9월1일~15일,접수중,2026-09-01 ~ 2026-09-15,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260824100534692481
강동구,광나루 한강공원 테니스장,광나루 한강공원 테니스장 3번 코트 - 저녁,접수중,2026-09-01 ~ 2026-09-30,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260830102245739313
강동구,광나루 한강공원 테니스장,광나루 한강공원 테니스장 3번 코트 - 평일,접수중,2026-09-01 ~ 2026-09-30,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260830101216069243
강동구,광나루 한강공원 테니스장,광나루 한강공원 테니스장 4번 코트 - 평일,접수중,2026-09-01 ~ 2026-09-30,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260830101514781996
강동구,광나루 한강공원 테니스장,광나루 한강공원 테니스장 5번 코트 - 저녁,접수중,2026-09-01 ~ 2026-09-30,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260830102636932424
강동구,광나루 한강공원 테니스장,"광나루 한강공원 테니스장 5번 코트 - 주말,공휴일",접수중,2026-09-01 ~ 2026-09-30,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260830103509443519
강동구,광나루 한강공원 테니스장,광나루 한강공원 테니스장 5번 코트 - 평일,접수중,2026-09-01 ~ 2026-09-30,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260830101711617584
강동구,광나루 한강공원 테니스장,광나루 한강공원 테니스장 6번 코트 - 평일,접수중,2026-09-01 ~ 2026-09-30,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260830101901691490
강동구,광나루 한강공원 테니스장,광나루 한강공원 테니스장 7번 코트 - 저녁,접수중,2026-09-01 ~ 2026-09-30,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260830103006653543
강동구,광나루 한강공원 테니스장,광나루 한강공원 테니스장 7번 코트 - 평일,접수중,2026-09-01 ~ 2026-09-30,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260830102052073827
강서구,서남물재생센터,서남센터 테니스장11번 코트,접수중,2021-04-10 ~ 2026-12-31,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210224094844227739
강서구,서남물재생센터,서남센터 테니스장12번 코트,접수중,2021-04-10 ~ 2026-12-31,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210224095950585838
강서구,서남물재생센터,"서남센터 테니스장1번 65세이상(가양1동,방화1동·3동) 전용코트",접수중,2021-04-10 ~ 2026-12-31,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210218174815551697
강서구,서남물재생센터,"서남센터 테니스장2번 65세이상(가양1동,방화1동·3동) 전용코트",접수중,2021-04-10 ~ 2026-12-31,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210219085555417413
강서구,서남물재생센터,"서남센터 테니스장3번 가양1동,방화1동·3동 전용코트",접수중,2021-04-10 ~ 2026-12-31,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210219091235657961
강서구,서남물재생센터,"서남센터 테니스장4번 가양1동,방화1동·3동 전용코트",접수중,2021-04-10 ~ 2026-12-31,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210219091554014528
강서구,서남물재생센터,서남센터 테니스장5번 코트,접수중,2021-04-10 ~ 2026-12-31,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210219091826906010
강서구,서남물재생센터,서남센터 테니스장6번 코트,접수중,2021-04-10 ~ 2026-12-31,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210219092004901944
강서구,서남물재생센터,서남센터 테니스장7번 코트,접수중,2021-04-10 ~ 2026-12-31,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210219092115226884
고양시,난지물재생센터 테니스장,난지물재생센터 테니스장(주말),접수중,2025-02-01 ~ 2026-12-31,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250210155727408893
고양시,난지물재생센터 테니스장,난지물재생센터 테니스장(평일),접수중,2025-01-01 ~ 2026-12-31,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250114090501006336
관악구,선우공원,선우공원테니스장 B코트 평일주간,접수중,2026-09-01 ~ 2026-09-30,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260824214307755296
구로구,계남근린공원,9월계남테니스야외코트(평일 06시~18시),접수중,2026-09-01 ~ 2026-09-30,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260813154513471357
구로구,신도림테니스장,신도림테니스장 09월 평일 B코트 주간 접수(07시~19시 ),접수중,2026-09-01 ~ 2026-09-30,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260810091528269073
동작구,동작구 테니스장,26년_1. 동작테니스장 / 평일 / 낮 8시~18시  / 1번코트,접수중,2026-01-01 ~ 2026-10-31,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241231103622491414
동작구,동작구 테니스장,26년_1. 동작테니스장 / 평일 / 낮 8시~18시  / 3번코트,접수중,2026-01-01 ~ 2026-10-31,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241231105012761501
동작구,동작구 테니스장,26년_4. 동작테니스장 / 평일 / 낮 8시~18시  / 2번코트,접수중,2026-01-01 ~ 2026-10-31,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241227153756219266
동작구,동작구 테니스장,26년_동작테니스장 / 평일 / 낮 (8시~18시)  / 5번코트,접수중,2026-01-01 ~ 2026-10-31,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241231205401190096
